20121231T,7.0,7.0,7.0,7.0,0
20130101T,41.0,41.0,41.0,41.0,0
20130102T,13.0,13.0,13.0,13.0,0
20130103T,36.0,36.0,36.0,36.0,0
20130104T,26.0,26.0,26.0,26.0,0
20130105T,38.0,38.0,38.0,38.0,0
20130106T,56.0,56.0,56.0,56.0,0
20130107T,33.0,33.0,33.0,33.0,0
20130108T,65.0,65.0,65.0,65.0,0
20130109T,50.0,50.0,50.0,50.0,0
20130110T,46.0,46.0,46.0,46.0,0
20130111T,52.0,52.0,52.0,52.0,0
20130112T,8.0,8.0,8.0,8.0,0
20130113T,41.0,41.0,41.0,41.0,0
20130114T,99.0,99.0,99.0,99.0,0
20130115T,14.0,14.0,14.0,14.0,0
20130116T,55.0,55.0,55.0,55.0,0
20130117T,18.0,18.0,18.0,18.0,0
20130118T,32.0,32.0,32.0,32.0,0
20130119T,30.0,30.0,30.0,30.0,0
20130120T,18.0,18.0,18.0,18.0,0
20130121T,32.0,32.0,32.0,32.0,0
20130122T,49.0,49.0,49.0,49.0,0
20130123T,88.0,88.0,88.0,88.0,0
20130124T,76.0,76.0,76.0,76.0,0
20130125T,19.0,19.0,19.0,19.0,0
20130126T,69.0,69.0,69.0,69.0,0
20130127T,40.0,40.0,40.0,40.0,0
20130128T,32.0,32.0,32.0,32.0,0
20130129T,24.0,24.0,24.0,24.0,0
20130130T,134.0,134.0,134.0,134.0,0
20130131T,66.0,66.0,66.0,66.0,0
20130201T,57.0,57.0,57.0,57.0,0
20130202T,18.0,18.0,18.0,18.0,0
20130203T,19.0,19.0,19.0,19.0,0
20130204T,46.0,46.0,46.0,46.0,0
20130205T,52.0,52.0,52.0,52.0,0
20130206T,47.0,47.0,47.0,47.0,0
20130207T,29.0,29.0,29.0,29.0,0
20130208T,16.0,16.0,16.0,16.0,0
20130209T,23.0,23.0,23.0,23.0,0
20130210T,45.0,45.0,45.0,45.0,0
20130211T,32.0,32.0,32.0,32.0,0
20130212T,33.0,33.0,33.0,33.0,0
20130213T,25.0,25.0,25.0,25.0,0
20130214T,45.0,45.0,45.0,45.0,0
20130215T,40.0,40.0,40.0,40.0,0
20130216T,28.0,28.0,28.0,28.0,0
20130217T,25.0,25.0,25.0,25.0,0
20130218T,24.0,24.0,24.0,24.0,0
20130219T,28.0,28.0,28.0,28.0,0
20130220T,57.0,57.0,57.0,57.0,0
20130221T,19.0,19.0,19.0,19.0,0
20130222T,30.0,30.0,30.0,30.0,0
20130223T,19.0,19.0,19.0,19.0,0
20130224T,29.0,29.0,29.0,29.0,0
20130225T,33.0,33.0,33.0,33.0,0
20130226T,7.0,7.0,7.0,7.0,0
20130227T,8.0,8.0,8.0,8.0,0
20130228T,20.0,20.0,20.0,20.0,0
20130301T,16.0,16.0,16.0,16.0,0
20130302T,11.0,11.0,11.0,11.0,0
20130303T,25.0,25.0,25.0,25.0,0
20130304T,35.0,35.0,35.0,35.0,0
20130305T,28.0,28.0,28.0,28.0,0
20130306T,29.0,29.0,29.0,29.0,0
20130307T,23.0,23.0,23.0,23.0,0
20130308T,16.0,16.0,16.0,16.0,0
